package,has_donors_section,has_recipe_section,stock,name,type,support,use,channel_model,densitometer,log_sensitivity_density_over_min,reference_illuminant,viewing_illuminant,fitted_cmy_midscale_neutral_density,log_exposure_midscale_neutral,log_sensitivity_donor,density_curves_donor,dye_density_cmy_donor,dye_density_min_mid_donor,dye_density_reconstruct_model,reference_channel,target_film,target_print,data_trustability,stretch_curves,should_process,donor_count,self_referencing_donors,unknown_donor_refs,issues
spektrafilm_profile_creator.data.film.negative,yes,yes,fujifilm_c200,Fujifilm C200,negative,film,filming,color,status_M,1,D55,D50,,,,,generic_a,,dmid_dmin,green,,fujifilm_crystal_archive_typeii,0.3,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,fujifilm_pro_400h,Fujifilm Pro 400H,negative,film,filming,color,status_M,1,D55,D50,,,,,generic_a,,dmid_dmin,mid,,fujifilm_crystal_archive_typeii,0.3,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,fujifilm_xtra_400,Fujifilm X-Tra 400,negative,film,filming,color,status_M,1,D55,D50,,,,,generic_a,,dmid_dmin,,,fujifilm_crystal_archive_typeii,0.3,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_ektar_100,Kodak Ektar 100,negative,film,filming,color,status_M,0.2,D55,D50,,,,,generic_a,,dmid_dmin,,,kodak_portra_endura,1,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_gold_200,Kodak Gold 200,negative,film,filming,color,status_M,0.2,D55,D50,,,,,generic_a,,dmid_dmin,,,kodak_portra_endura,1,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_portra_160,Kodak Portra 160,negative,film,filming,color,status_M,0.2,D55,D50,,,,,generic_a,,dmid_dmin,,,kodak_portra_endura,1,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_portra_400,Kodak Portra 400,negative,film,filming,color,status_M,0.2,D55,D50,,,,,generic_a,,dmid_dmin,,,kodak_portra_endura,1,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_portra_800,Kodak Portra 800,negative,film,filming,color,status_M,0.2,D55,D50,,,,,generic_a,,dmid_dmin,,,kodak_portra_endura,1,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_portra_800_push1,Kodak Portra 800 (Push 1),negative,film,filming,color,status_M,0.2,D55,D50,,,kodak_portra_800,,generic_a,kodak_portra_800,dmid_dmin,,,kodak_portra_endura,1,,yes,3,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_portra_800_push2,Kodak Portra 800 (Push 2),negative,film,filming,color,status_M,0.2,D55,D50,,,kodak_portra_800,,generic_a,kodak_portra_800,dmid_dmin,,,kodak_portra_endura,1,,yes,3,,,
spektrafilm_profile_creator.data.film.negative,yes,yes,kodak_ultramax_400,Kodak Ultramax 400,negative,film,filming,color,status_M,0.2,D55,D50,,,,,generic_a,,dmid_dmin,,,kodak_portra_endura,1,,yes,1,,,
spektrafilm_profile_creator.data.film.negative,,yes,kodak_vision3_200t,Kodak Vision3 200T,negative,film,filming,color,status_M,0.2,T,D50,,,,,,,dmid_dmin,,,kodak_2383,0.3,,yes,0,,,
spektrafilm_profile_creator.data.film.negative,,yes,kodak_vision3_250d,Kodak Vision3 250D,negative,film,filming,color,status_M,0.2,D55,D50,,,,,,,dmid_dmin,,,kodak_2383,0.3,,yes,0,,,
spektrafilm_profile_creator.data.film.negative,,yes,kodak_vision3_500t,Kodak Vision3 500T,negative,film,filming,color,status_M,0.2,T,D50,,,,,,,dmid_dmin,,,kodak_2383,0.3,,yes,0,,,
spektrafilm_profile_creator.data.film.negative,,yes,kodak_vision3_50d,Kodak Vision3 50D,negative,film,filming,color,status_M,0.2,D55,D50,,,,,,,dmid_dmin,,,kodak_2383,0.3,,yes,0,,,
spektrafilm_profile_creator.data.print.negative,,yes,kodak_2383,Kodak Vision 2383,negative,film,printing,color,status_A,1,TH-KG3-L,K75P,,,,,,,dmid_dmin,,kodak_vision3_250d,,0.3,,yes,0,,,
spektrafilm_profile_creator.data.print.negative,,yes,kodak_2393,Kodak Vision Premier 2393,negative,film,printing,color,status_A,1,TH-KG3-L,K75P,,,,,,,dmid_dmin,,kodak_vision3_250d,,0.3,,yes,0,,,
spektrafilm_profile_creator.data.film.positive,,,fujifilm_provia_100f,Fujifilm Provia 100F,positive,film,filming,color,status_A,0.2,D55,D50,,,,,,,dmid_dmin,,,,1,,yes,0,,,
spektrafilm_profile_creator.data.film.positive,,,fujifilm_velvia_100,Fujifilm Velvia 100,positive,film,filming,color,status_A,0.2,D55,D50,,,,,,,dmid_dmin,,,,1,,yes,0,,,
